Boys Enrolled,Complete Primary Schools,Girls Enrolled,Primary Schools with single classroom,Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,Boundary wall,Building condition satisfactory,Complete Primary Schools,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
0.7783,0.145102781,0.2217,0.338573156,0.516324063,0.3447,0.1242,0.3029,0.2281,7819,41,28.85638298,12.63297872,120,Pishin,95.07978723,24,52.53933306,0.0259,8.510638298,84.16666667,72.16566557,9.07,29.025,0,0.838742394,827,0.161257606,159,0.037,367183,280,427,Balochistan,24.8,32.23404255,5379,16.09042553,986,2013
0.6334,0.751282051,0.3666,0.094871795,0.153846154,0.4291,0.0354,0.3799,0.1555,2653,41,59.9009901,12.12871287,293,Quetta,94.05940594,24,66.32943455,0.0259,23.01980198,85.83333333,86.65940487,9.07,52.025,0,0.681818182,390,0.318181818,182,0.037,744802,37,60,Balochistan,40.8,44.35643564,5379,32.67326733,572,2013
1,0.012195122,0,0.237804878,0.75,0.2096,0.0778,0.4431,0.2695,0,41,25.92592593,25.30864198,2,Sherani,90.12345679,24,45.7923763,0.0259,10.49382716,82.5,48.79450519,9.07,27.075,0,0.891304348,164,0.108695652,20,0.037,0,39,123,Balochistan,24.8,34.81481482,5379,22.22222222,184,2013
0.5616,0.368932039,0.4384,0.276699029,0.354368932,0.5826,0.0367,0.1835,0.1972,7796,41,3.398058252,1.941747573,76,Sibi,85.4368932,24,61.37035489,0.0259,22.81553398,81.66666667,93.83975288,9.07,26.775,0,0.78030303,206,0.21969697,58,0.037,180398,57,73,Balochistan,43.2,27.47572816,5379,23.78640777,264,2013
0.7493,0.174193548,0.2507,0.2,0.625806452,0.2733,0.0058,0.6686,0.0523,29510,41,18.11594203,41.30434783,27,Washuk,39.85507246,24,48.93434085,0.0259,4.347826087,74.16666667,75.07069672,9.07,16.5,0,0.824468085,155,0.175531915,33,0.037,118171,31,97,Balochistan,30,22.31884058,5379,7.971014493,188,2013
0.7893,0.152027027,0.2107,0.165540541,0.682432432,0.1524,0.061,0.3689,0.4177,20297,41,1.766784452,7.77385159,45,Zhob,80.91872792,24,39.63466145,0.0259,15.90106007,49.16666667,71.07197913,9.07,15.1,0,0.848137536,296,0.151862464,53,0.037,275142,49,202,Balochistan,23.2,23.39222615,5379,10.60070671,349,2013
0.7537,0.178082192,0.2463,0.296803653,0.525114155,0.0659,0.3023,0.1822,0.4496,1489,41,42.34234234,17.56756757,39,Ziarat,17.11711712,24,56.07938624,0.0259,4.504504505,70.83333333,74.63421162,9.07,38.45,0,0.829545455,219,0.170454545,45,0.037,33340,65,115,Balochistan,40.4,20.81081081,5379,22.52252252,264,2013
0.942,0.908560311,0.058,0.007782101,0.083657588,0.1745,0.2383,0.1326,0.2097,1489,41,45.71948998,14.38979964,467,Bajaur Agency,24.95446266,24,48.80876286,0.0259,30.78324226,67.33333333,55.8017181,9.07,52.5,0.245,0.856666667,514,0.143333333,86,0.037,33340,4,43,FATA,19.6,28.63387978,5379,27.32240437,600,2013
0.6959,0.917378917,0.3041,0,0.082621083,0.2044,0.234,0.2857,0.1601,1227,41,82.20858896,1.840490798,322,FR Bannu,56.44171779,24,54.34318549,0.0259,62.26993865,51.33333333,80.40607529,9.07,50.83333333,0.1158,0.851941748,351,0.148058252,61,0.037,675667,0,29,FATA,34.8,51.47239264,5379,54.60122699,412,2013
1,0.886363636,0,0.015151515,0.098484848,0.1579,0.2697,0.1184,0.1842,1227,41,59.01639344,40.16393443,117,FR DI Khan,45.90163934,24,27.99426986,0.0259,27.86885246,33.33333333,36.27707943,9.07,18.76666667,0.2697,0.851612903,132,0.148387097,23,0.037,675667,2,13,FATA,23.6,44.59016393,5379,50,155,2013
1,0.945578231,0,0.020408163,0.034013605,0.1568,0.2811,0.1838,0.2108,1227,41,82.75862069,6.896551724,139,FR Kohat,44.82758621,24,15.21173022,0.0259,53.44827586,0,22.84692089,9.07,0,0.1676,0.794594595,147,0.205405405,38,0.037,675667,3,5,FATA,38,46.37931035,5379,43.96551724,185,2013
0.6375,0.979166667,0.3625,0,0.020833333,0.1589,0.3271,0.1028,0.2617,1227,41,79.76190476,3.571428571,94,FR Lakki Marwat,23.80952381,24,51.07868957,0.0259,15.47619048,45.83333333,86.2480916,9.07,36.63333333,0.1495,0.834782609,96,0.165217391,19,0.037,675667,0,2,FATA,35.6,32.38095238,5379,39.28571429,115,2013
0.8079,0.953333333,0.1921,0.013333333,0.033333333,0.4,0.0667,0.2444,0.1944,1227,41,84.375,23.4375,143,FR Peshawar,63.28125,24,49.36050262,0.0259,50.78125,76,69.20867714,9.07,16.63333333,0.0944,0.824175824,150,0.175824176,32,0.037,675667,2,5,FATA,35.6,55.78125,5379,57.03125,182,2013
0.8797,0.830687831,0.1203,0.026455026,0.142857143,0.2629,0.2019,0.1972,0.2254,1227,41,60.24844721,29.19254658,157,FR Tank,44.09937888,24,51.88333333,0.0259,29.8136646,73.5,62.03333333,9.07,25.2,0.1127,0.828947368,189,0.171052632,39,0.037,675667,5,27,FATA,46.8,43.35403727,5379,53.41614907,228,2013
0.758,0.913043478,0.242,0.00621118,0.080745342,0.4173,0.1011,0.2243,0.1452,1227,41,57.7746077,10.84165478,588,Khyber Agency,3.138373752,24,48.56717209,0.0259,17.83166904,74.16666667,74.20202167,9.07,36.3,0.1121,0.878581173,644,0.121418827,89,0.037,675667,4,52,FATA,9.6,25.62054208,5379,38.51640514,733,2013
0.9255,0.906614786,0.0745,0.009727626,0.083657588,0.2461,0.1594,0.1664,0.1664,1227,41,37.65957447,34.46808511,466,Kurram Agency,41.70212766,24,15.36194353,0.0259,44.68085106,0,57.44777411,9.07,0,0.2617,0.829032258,514,0.170967742,106,0.037,675667,5,43,FATA,4,38.68085106,5379,34.89361702,620,2013
0.6693,0.953535354,0.3307,0.002020202,0.044444444,0.1526,0.207,0.1544,0.1649,1227,41,44.14784394,7.186858316,472,Mohmand Agency,28.33675565,24,49.36685843,0.0259,31.41683778,67.33333333,83.06743373,9.07,28.66666667,0.3211,0.831932773,495,0.168067227,100,0.037,675667,1,22,FATA,18.4,28.29568789,5379,30.39014374,595,2013
0.867,0.839416058,0.133,0.077858881,0.082725061,0.4712,0.1215,0.2196,0.1194,1227,41,61.23521682,19.57950066,690,North Waziristan Agency,58.21287779,24,26.32483314,0.0259,62.54927727,0,63.29933257,9.07,0,0.0682,0.868004224,822,0.131995776,125,0.037,675667,64,68,FATA,42,50.24967149,5379,49.67148489,947,2013
0.7879,0.937209302,0.2121,0.018604651,0.044186047,0.0593,0.1861,0.1022,0.1943,1227,41,40.86538462,32.93269231,403,Orakzai Agency,14.42307692,24,49.89785202,0.0259,24.03846154,74.58333333,71.20807473,9.07,51,0.4581,0.866935484,430,0.133064516,66,0.037,675667,8,19,FATA,2.8,25.67307692,5379,16.10576923,496,2013
1,0.917460317,0,0.015873016,0.066666667,0.3241,0.1245,0.166,0.1897,1227,41,38.53383459,3.195488722,578,South Waziristan Agency,17.85714286,24,8.728725034,0.0259,23.12030075,0,34.91490014,9.07,0,0.1957,0.847913863,630,0.152086137,113,0.037,675667,10,42,FATA,0,21.91729323,5379,26.87969925,743,2013
1,0.65625,0,0.03125,0.3125,0.1795,0.1795,0.1709,0.1966,1227,41,15.65217391,20.86956522,42,Astor,28.69565217,24,44.47871682,0.0259,6.956521739,69.41666667,45.56486727,9.07,62.93333333,0.2735,0.547008547,64,0.452991453,53,0.037,675667,2,20,GB,0,21.91304348,5379,37.39130435,117,2013
