Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Pakistan,Brunei,2021,Exports & Imports,50,2,1.81,0.05,1003.8,1139.22,135.42,0,0,0,0,5,0,100,0,0,0,0,0,0,135.37,0,0,5,0,100,0,0,0,0,0,0,135.37,
Pakistan,Bhutan,2021,Exports & Imports,2,2,0.07,0.05,-73.7,1.66,75.36,0,0,3.17,3.26,5,80,20,0,0,5,0,0,75.36,0,9.17,12.71,5,80,20,0,0,35,0,0,75.36,0,1
Pakistan,Botswana,2021,Exports & Imports,33,3,1.2,0.07,5729.72,5872.68,142.96,0,0.02,3.87,4.44,7,28.57,71.43,0,0,11,0,0,132.86,10.1,3.87,4.44,7,28.57,71.43,0,0,11,0,0,132.86,10.1,
Pakistan,Central African Republic,2021,Exports & Imports,3,11,0.11,0.27,-991.99,13.35,1005.34,0,0,6.06,9.14,22,50,50,0,0,35,0,0,849.54,155.79,6.06,9.14,22,50,50,0,0,35,0,0,849.54,155.79,
Pakistan,Canada,2021,Exports & Imports,683,745,24.74,18.57,-158777.76,362657.83,521435.59,0.72,1.26,11.08,4.27,1497,78.29,21.58,0,0.13,50,0,0,470570.82,41884.68,11.08,4.27,1497,78.29,21.58,0,0.13,50,0,0,470570.82,41884.68,
Pakistan,Cocos (Keeling) Islands,2021,Exports & Imports,,5,,0.12,,,4.34,0,,14.05,24.72,12,83.33,16.67,0,0,35,0,0,4.33,0.02,14.05,24.72,12,83.33,16.67,0,0,35,0,0,4.33,0.02,
Pakistan,Switzerland,2021,Exports & Imports,219,748,7.93,18.65,-268687.92,15712.34,284400.26,0.39,0.05,9.85,9.87,1444,71.68,28.12,0,0.21,35,0,0,224954.55,58638.7,9.85,9.87,1444,71.68,28.12,0,0.21,35,0,0,224954.55,58638.7,
Pakistan,Chile,2021,Exports & Imports,245,269,8.87,6.71,79146.32,115022.16,35875.84,0.05,0.4,14.21,2.05,573,83.6,16.06,0,0.35,60,0,0,5683.32,30152.13,14.21,2.05,573,83.6,16.06,0,0.35,60,0,0,5683.32,30152.13,
Pakistan,China,2021,Exports & Imports,570,3472,20.64,86.56,-17610779.04,3033900.05,20644679.09,28.32,10.54,9.23,7.94,5338,66.52,33.25,0,0.22,100,0,0,14820428.14,5565170.23,11.69,10.15,5338,77.33,22.41,0,0.26,100,0,0,16053861.84,4331736.53,1
Pakistan,Cote d'Ivoire,2021,Exports & Imports,56,11,2.03,0.27,-134795.08,41261.45,176056.52,0.24,0.14,6.25,0,25,52,48,0,0,35,0,0,136.27,175911.8,6.25,0,25,52,48,0,0,35,0,0,136.27,175911.8,
Pakistan,Cameroon,2021,Exports & Imports,64,8,2.32,0.2,-7503.42,11585.86,19089.28,0.03,0.04,0.5,0.27,17,11.76,88.24,0,0,3,0,0,1711.05,17247.02,0.5,0.27,17,11.76,88.24,0,0,3,0,0,1711.05,17247.02,
Pakistan,"Congo, Rep.",2021,Exports & Imports,19,8,0.69,0.2,-3945.04,2032.99,5978.03,0.01,0.01,2.56,0.02,11,27.27,72.73,0,0,20,0,0,7.12,5926.55,2.56,0.02,11,27.27,72.73,0,0,20,0,0,7.12,5926.55,
